Date,infl_r,infl_u,infl_ru,ind_r,ind_u,ind_ru
2013-01-01,,,,105.1,104.0,104.6
2013-02-01,0.6660323501427239,0.6730769230769258,0.6692160611854712,105.8,104.7,105.3
2013-03-01,0.1890359168241993,0.28653295128939554,0.1899335232668593,106.0,105.0,105.5
2013-04-01,0.3773584905660431,0.6666666666666694,0.568720379146914,106.4,105.7,106.1
2013-05-01,0.7518796992481176,0.8514664143803136,0.7540056550424236,107.2,106.6,106.9
2013-06-01,1.5858208955223905,2.908067542213892,2.245088868101021,108.9,109.7,109.3
2013-07-01,1.6528925619834682,1.549680948040112,1.5553522415370566,110.7,111.4,111.0
2013-08-01,1.2646793134597936,1.166965888689405,1.2612612612612664,112.1,112.7,112.4
2013-09-01,1.8733273862622735,0.44365572315882873,1.156583629893236,114.2,113.2,113.7
2013-10-01,1.1383537653239904,0.7067137809187254,0.9674582233948937,115.5,114.0,114.8
2013-11-01,1.64502164502165,0.8771929824561403,1.3066202090592334,117.4,115.0,116.3
2013-12-01,-1.6183986371379946,-1.4782608695652197,-1.5477214101461714,115.5,113.3,114.5
2014-01-01,-1.125541125541123,-0.35304501323918047,-0.7860262008733674,114.2,112.9,113.6
2014-02-01,-0.17513134851138604,0.17714791851194742,0.0,114.0,113.1,113.6
2014-03-01,0.5263157894736793,0.5305039787798485,0.5281690140845146,114.6,113.7,114.2
2014-04-01,0.6980802792321217,0.8795074758135444,0.7880910683012184,115.4,114.7,115.1
2014-05-01,0.5199306759098737,0.7846556233652933,0.6081668114682909,116.0,115.6,115.8
2014-06-01,0.8620689655172413,0.6920415224913594,0.7772020725388651,117.0,116.4,116.7
2014-07-01,2.1367521367521367,2.147766323024055,2.1422450728363325,119.5,118.9,119.2
2014-08-01,1.0041841004184124,0.8410428931875525,0.9228187919463039,120.7,119.9,120.3
2014-09-01,0.16570008285004378,-0.5838198498748981,-0.16625103906899655,120.9,119.2,120.1
2014-10-01,0.08271298593878769,-0.08389261744967158,0.0,121.0,119.1,120.1
2014-11-01,0.08264462809916885,-0.08396305625524292,0.0,121.1,119.0,120.1
2014-12-01,-0.6606110652353404,-0.5042016806722641,-0.5828476269775092,120.3,118.4,119.4
2015-01-01,0.0,0.08445945945945466,0.08375209380234029,120.3,118.5,119.5
2015-02-01,0.24937655860348892,0.16877637130801926,0.16736401673640405,120.6,118.7,119.7
2015-03-01,0.41459369817578773,0.336983993260313,0.4177109440267335,121.1,119.1,120.2
2015-04-01,0.33030553261767603,0.5037783375314934,0.4159733777038269,121.5,119.7,120.7
2015-05-01,0.7407407407407455,0.835421888053467,0.7456503728251793,122.4,120.7,121.6
2015-06-01,1.3888888888888795,0.8285004142502072,1.151315789473689,124.1,121.7,123.0
2015-07-01,0.4834810636583469,0.5751848808545628,0.48780487804877587,124.7,122.4,123.6
2015-08-01,1.1226944667201215,0.6535947712418277,0.9708737864077693,126.1,123.2,124.8
2015-09-01,0.7137192704203059,0.2435064935064912,0.48076923076923767,127.0,123.5,125.4
2015-10-01,0.551181102362207,0.5668016194332006,0.5582137161084438,127.7,124.2,126.1
2015-11-01,0.46985121378230893,0.3220611916264022,0.3965107057890563,128.3,124.6,126.6
2015-12-01,-0.311769290724868,-0.4815409309791287,-0.39494470774091633,127.9,124.0,126.1
2016-01-01,0.1563721657544868,0.16129032258064746,0.1586042823156248,128.1,124.2,126.3
2016-02-01,-0.15612802498047512,-0.32206119162641356,-0.2375296912113992,127.9,123.8,126.0
2016-03-01,0.0781860828772434,0.0,0.0,128.0,123.8,126.0
2016-04-01,0.78125,1.2116316639741518,1.0317460317460294,129.0,125.3,127.3
2016-05-01,1.007751937984505,1.0375099760574598,1.0212097407698328,130.3,126.6,128.6
2016-06-01,1.2279355333844928,1.1848341232227488,1.166407465007776,131.9,128.1,130.1
2016-07-01,0.8339651250947645,0.7025761124121825,0.7686395080707149,133.0,129.0,131.1
2016-08-01,0.37593984962406013,-0.465116279069763,0.0,133.5,128.4,131.1
2016-09-01,-0.07490636704119424,-0.31152647975078324,-0.15255530129671138,133.4,128.0,130.9
2016-10-01,0.29985007496252297,0.46874999999999556,0.3819709702062643,133.8,128.6,131.4
2016-11-01,-0.1494768310911936,-0.07776049766718066,-0.152207001522083,133.6,128.5,131.2
2016-12-01,-0.5988023952095681,-0.7003891050583702,-0.6097560975609627,132.8,127.6,130.4
2017-01-01,-0.3012048192771127,0.15673981191222794,-0.07668711656441281,132.4,127.8,130.3
2017-02-01,0.15105740181268024,0.3129890453834049,0.23023791250958014,132.6,128.2,130.6
2017-03-01,0.15082956259428135,0.39001560062402496,0.22970903522206076,132.8,128.7,130.9
2017-04-01,0.07530120481927281,0.3108003108003152,0.15278838808249703,132.9,129.1,131.1
2017-05-01,0.30097817908202085,0.154918667699471,0.22883295194508876,133.3,129.3,131.4
2017-06-01,0.45011252813202873,0.4640371229698331,0.4566210045662057,133.9,129.9,132.0
2017-07-01,1.7176997759521904,1.462663587374908,1.666666666666658,136.2,131.8,134.2
2017-08-01,1.174743024963306,0.682852807283746,0.8941877794336939,137.8,132.7,135.4
2017-09-01,-0.14513788098694996,-0.22607385079124565,-0.14771048744462115,137.6,132.4,135.2
2017-10-01,0.5087209302325706,0.8308157099697842,0.6656804733727854,138.3,133.5,136.1
2017-11-01,1.229211858279095,0.973782771535589,1.1021307861866276,140.0,134.8,137.6
2017-12-01,-0.14285714285713474,-0.5192878338279058,-0.29069767441860883,139.8,134.1,137.2
2018-01-01,-0.3576537911301859,0.0,-0.2186588921282675,139.3,134.1,136.9
2018-02-01,-0.5743000717875171,-0.07457121551080859,-0.36523009495982467,138.5,134.0,136.4
2018-03-01,0.14440433212995568,0.0,0.07331378299119817,138.7,134.0,136.5
2018-04-01,0.288392213410242,0.5970149253731428,0.4395604395604354,139.1,134.8,137.1
2018-05-01,0.5032350826743472,0.44510385756676135,0.5105762217359716,139.8,135.4,137.8
2018-06-01,0.5007153075822522,0.5908419497784216,0.5079825834542733,140.5,136.2,138.5
2018-07-01,0.9252669039145989,0.954478707782681,0.9386281588447735,141.8,137.5,139.8
2018-08-01,0.4936530324400484,0.36363636363636365,0.4291845493562191,142.5,138.0,140.4
2018-09-01,-0.2807017543859689,0.07246376811593791,-0.1424501424501546,142.1,138.1,140.2
2018-10-01,0.07037297677691366,0.5792903692976187,0.4279600570613572,142.2,138.9,140.8
2018-11-01,0.14064697609002605,0.07199424046075904,0.0,142.4,139.0,140.8
2018-12-01,-0.35112359550561795,-0.7194244604316548,-0.49715909090910293,141.9,138.0,140.1
2019-01-01,-0.6342494714587777,0.0,-0.3568879371877231,141.0,138.0,139.6
2019-02-01,0.0,0.434782608695648,0.21489971346705686,141.0,138.6,139.9
2019-03-01,0.1418439716311976,0.6493506493506535,0.35739814152966404,141.2,139.5,140.4
2019-05-01,0.8498583569405221,1.4336917562724014,1.1396011396011354,142.4,141.5,142.0
2019-06-01,0.8426966292134751,0.4240282685512327,0.6338028169014125,143.6,142.1,142.9
2019-07-01,0.9052924791086431,0.844475721323024,0.9097270818754255,144.9,143.3,144.2
2019-08-01,0.5521048999309751,0.6280530355896561,0.5547850208044461,145.7,144.2,145.0
2019-09-01,0.6863417982155113,0.34674063800277394,0.5517241379310424,146.7,144.7,145.8
2019-10-01,1.0906612133606155,0.8984105044920605,0.9602194787379815,148.3,146.0,147.2
2019-11-01,1.0788941335131452,0.684931506849315,0.951086956521743,149.9,147.0,148.6
2019-12-01,1.6010673782521718,0.8843537414966064,1.2113055181695904,152.3,148.3,150.4
2020-01-01,-0.26263952724885464,-0.06743088334458715,-0.13297872340426667,151.9,148.2,150.2
2020-02-01,-0.9874917709019091,-0.33738191632928477,-0.7323568575232985,150.4,147.7,149.1
2020-03-01,-0.3989361702127622,-0.2708192281651844,-0.335345405767941,149.8,147.3,148.6
